user_db_id,field,subfield,career_stage,top_init_venue_db_id,mid_init_venue_db_id,low_init_venue_db_id,venue_bug,hash,gender,aa_area,clusters_20,clusters_40,institution_bin_3,institution_bin_10,academia_prestige_bin_3,academia_prestige_bin_10
148645,Medicine,Nursing,Full Professor,1647092,1647125,1648695,False,b1mYdkcFe-U9cPzY-X29aw,gf,Health,8,13,2.0,4.0,2.0,4.0
148555,Sociology,Social science,Full Professor,1655964,1655442,1652702,False,DzS-Dw9VxdLbk9Jqp_jLeg,gm,Linguistics,20,40,3.0,10.0,3.0,9.0
149506,Economics,Management,Full Professor,1650681,1647092,1650235,False,StzL2vO_9QhQipux5AsxmA,gm,,2,4,,,,
148776,Business,Business administration,Associate Professor,1650616,1655495,1662618,False,n7aFEQ4Upn9OptFiCj0JPw,gm,,18,35,,,2.0,5.0
149346,Chemistry,Other,Full Professor,1664607,1647211,1707547,False,ZFFiw3EnSQZ3peRzngMG6Q,gm,Chemical Sciences,16,26,3.0,9.0,3.0,8.0
148117,Psychology,Social psychology,Full Professor,1712747,1652761,1647096,False,XU4FHS0_4U3EPSP_yQxnkA,gm,Psychological Sciences,8,13,1.0,3.0,1.0,3.0
151533,Psychology,Clinical psychology,Associate Professor,1707235,1662098,1648220,False,ny-dcA1zwJxLsus776BADA,gf,Psychological Sciences,20,39,2.0,7.0,3.0,8.0
150438,Economics,Microeconomics,Full Professor,1650343,1651282,1656063,False,VuJ3G6pXEbpTEoS6gKbJ2g,gm,,2,3,,,,
149754,Sociology,Socioeconomics,Full Professor,1648524,1696579,1656773,False,kAROdqQlJcu9P9xKwvndqA,gm,Sociology,17,34,1.0,1.0,1.0,1.0
150730,Chemistry,Organic chemistry,Full Professor,1647152,1647139,1647135,False,SQ0zY7kG9pyKeCgjLYoohA,gm,Chemical Sciences,4,6,3.0,10.0,3.0,8.0
149910,Biology,Evolutionary biology,Associate Professor,1647092,1647827,1648032,False,qUNF0savRmI4XgqbmKNzOg,gm,Biological Sciences,9,14,2.0,6.0,2.0,7.0
150977,Engineering,Civil engineering,Full Professor,1648992,1701942,1653221,False,OpJx5y6_EbrbCWI3YBiQZg,gm,Engineering,16,28,2.0,7.0,2.0,5.0
151227,Business,Other,Full Professor,1657589,1695081,1661476,False,VzNBeDL8DZJOBcUMVqdLcQ,gf,,18,36,,,3.0,8.0
151062,Sociology,Gender studies,Full Professor,1656211,1659642,1657809,False,aqoFu3cx1c1RCgOv1h2M9A,gf,Sociology,17,33,3.0,8.0,3.0,9.0
150050,Philosophy,Other,Associate Professor,1649107,1692215,1690765,False,lprlYMuU-sbURpVLI8niqw,gf,Philosophy,14,22,1.0,1.0,1.0,1.0
151173,Business,Business administration,Full Professor,1653111,1664286,1655085,False,XolIT7f-gWydNlK1PwfA3g,gf,,18,36,,,1.0,4.0
149854,Psychology,Developmental psychology,Full Professor,1651281,1648972,1651780,False,D6npYj6gI2HUbBcdDZIQpA,gf,Psychological Sciences,20,38,1.0,1.0,1.0,1.0
150611,Economics,Public economics,Full Professor,1650681,1712938,1648970,False,sZdvdIi9vI_xAjB9wJ9TVw,gm,Economics,2,3,3.0,7.0,2.0,6.0
149692,Philosophy,Other,Associate Professor,1650345,1649318,1652391,False,toECwVZqnRZUsVBDdmaD8Q,gm,Philosophy,5,7,2.0,6.0,1.0,2.0
151543,Sociology,Other,Full Professor,1648524,1678990,1658136,False,wJMO9-DvulomNwo3r3abiw,gm,,17,34,,,1.0,1.0
151528,History,Other,Associate Professor,1647407,1665808,1669976,False,vN3SkKOnfba5kYfzjy2xaA,-,,15,23,,,,
151408,Engineering,Mechanical engineering,Assistant Professor,1647544,1654300,1650968,False,5yATz3dPm3deCdU9hP2RHw,gf,Engineering,12,20,,,,
151284,Philosophy,Epistemology,Other,1649318,1650892,1663629,False,bumU7_n9hNjgHFsLRMhalg,gm,Theology and Religion,14,22,3.0,10.0,2.0,5.0
148695,Psychology,Developmental psychology,Associate Professor,1648972,1652765,1664551,False,_hdMCwQrkdZAF-qO1LjS_g,gf,Psychological Sciences,20,38,3.0,10.0,3.0,9.0
151041,Sociology,Other,Associate Professor,1648549,1669720,1663499,False,hzQIBdW0SlHDgb8ntY4fgA,gf,Health,16,28,1.0,3.0,1.0,3.0
148857,Business,Business administration,Associate Professor,1657589,1653480,1655085,False,eEg2XE9TlsJGXtm4yLFJBw,gm,,18,36,,,1.0,3.0
151184,Physics,Particle physics,Full Professor,1647092,1647118,1647595,False,vBau6T7F4vhH9tjMHp1a3w,gm,Physical Sciences,5,7,1.0,3.0,1.0,2.0
150469,Biology,Ecology,Associate Professor,1653112,1648393,1652305,False,YBycUqm-lKRUiDYo73aJzg,gm,Biological Sciences,9,14,3.0,9.0,3.0,10.0
147704,Mathematics,Mathematical physics,Associate Professor,1650953,1648820,1652462,False,fDPwxuwVhLBzUqVTxKMooQ,gm,Education,5,7,3.0,10.0,3.0,9.0
149882,Chemistry,Computational chemistry,Full Professor,1648474,1649772,1647113,False,wu_8OGQ0dEFnSFRwgE_uFw,gm,Chemical Sciences,6,8,1.0,3.0,1.0,2.0
149664,Computer science,Other,Full Professor,1669828,1647633,1647894,False,aSl6Ljz6RheThDteHzuNkA,gm,,16,29,,,,
150464,Sociology,Social science,Full Professor,1656595,1673309,1678461,False,Fv9txw4SaMckTVJALwC91Q,gm,Sociology,8,13,2.0,5.0,1.0,3.0
151484,Sociology,Gender studies,Full Professor,1648549,1665560,1650163,False,obf4cPH_fN1R0-47uziKgw,gf,Health,16,28,2.0,6.0,2.0,7.0
151043,Medicine,Other,Associate Professor,1647097,1647718,1647839,False,lHl-6HWe0DWncjt9ujZP3Q,gf,Medical Sciences,8,13,1.0,1.0,1.0,2.0
149942,Biology,Microbiology,Associate Professor,1647092,1648296,1647209,False,LMsDcylKrnsLJ2FGaksmvg,gm,Biological Sciences,7,11,3.0,8.0,3.0,7.0
149686,Engineering,Civil engineering,Associate Professor,1706308,1656744,1647371,False,VknkpVqOz6ltSWLFliz7dw,gm,Engineering,16,28,2.0,7.0,2.0,7.0
149371,Biology,Cancer research,Full Professor,1654176,1647110,1647101,False,gqjbbWU5DnnE38mKCUUpBA,gf,Biological Sciences,7,11,2.0,6.0,2.0,4.0
151932,History,Other,Full Professor,1647120,1647407,1656875,False,MkBzCx3DCR4DwgaPssXK6w,gm,,15,23,,,2.0,6.0
151287,Medicine,Other,Associate Professor,1647097,1647143,1696735,False,RH7d-Qt-nQQxB6lNZ-vu5w,-,,8,13,,,,
149690,Engineering,Mechanical engineering,Associate Professor,1681590,1655358,1653984,False,KvY5sCbgYKVd9-Yc24rDwQ,gm,Engineering,16,29,1.0,1.0,1.0,1.0
151779,Economics,International economics,Associate Professor,1649056,1653733,1653261,False,ClVX-bbA40pq-bvg9_mjyA,gf,Economics,2,4,3.0,8.0,2.0,6.0
151965,Business,Process management,Associate Professor,1648613,1655371,1659987,False,TunGJKgueV7Vb1mRq6--4A,gm,,16,28,,,,
151086,Business,Accounting,Full Professor,1658795,1652519,1685338,False,VABB60lL2uEkB6OQs80ysg,gm,,1,2,,,2.0,5.0
150910,Engineering,Mechanical engineering,Associate Professor,1648880,1647441,1649844,False,KypAhDu_rhgOMcc67Pw78g,gm,Engineering,16,28,2.0,5.0,1.0,3.0
151229,Physics,Astrophysics,Associate Professor,1647129,1647166,1647751,False,FAA5Jq2IlMPp_Hv9Va3HBg,gm,Physical Sciences,3,5,1.0,3.0,1.0,1.0
150240,Engineering,Mechanical engineering,Full Professor,1647544,1654300,1647927,False,81m99T8gE8wEjEeA6JjZIA,gm,Engineering,12,20,1.0,2.0,1.0,2.0
149673,Physics,Atmospheric sciences,Full Professor,1647273,1649800,1647105,False,DKkZxM2mP7G1XLiWsFHUcQ,gm,Physical Sciences,12,20,2.0,6.0,3.0,8.0
151167,Business,Marketing,Full Professor,1648285,1665772,1666908,False,N5I7tR-9AukUEyHaEm-b4Q,gm,,19,37,,,1.0,3.0
150076,Sociology,Other,Associate Professor,1648524,1696579,1656606,False,sjFSsNHTD2_eZ_i0n2C0Uw,gm,Sociology,17,33,2.0,6.0,1.0,3.0
147935,Chemistry,Computational chemistry,Associate Professor,1647092,1647108,1680828,False,yTl_q2xjyDHQTVDqn9j3qA,gm,Medical Sciences,7,10,3.0,7.0,2.0,7.0
151530,Sociology,Social science,Full Professor,1647555,1706048,1653467,False,OFTi0aI8vGyXGxeoACy2Cg,gf,Sociology,17,33,1.0,1.0,1.0,1.0
151338,Philosophy,Other,Full Professor,1648927,1692215,1661835,False,-s2dOtNK6yqp14JirQWPLQ,gm,Philosophy,14,22,1.0,3.0,2.0,4.0
151322,Business,Other,Full Professor,1662467,1667985,1665696,False,6augCc-yvnllR3yYw_XK7A,gm,,18,36,,,,
149726,Business,Finance,Full Professor,1648193,1648613,1658165,False,uuOy-e3WrpMSFhFsBzH1dg,gm,,2,3,,,1.0,2.0
150781,Psychology,Developmental psychology,Full Professor,1648096,1662546,1647096,False,mfxubV9Ni5sBuKsc4Z9VLg,gf,Psychological Sciences,20,40,2.0,4.0,1.0,4.0
149913,Chemistry,Chemical physics,Other,1647094,1647113,1648445,False,ZSI2lbxK9jhNOGIy_8AHfA,gm,Chemical Sciences,6,9,1.0,1.0,1.0,1.0
150172,Biology,Biochemistry,Associate Professor,1650477,1651323,1648398,False,3t8o9wf5mL8J5MRiX3Uw8g,gm,Biological Sciences,7,11,3.0,8.0,3.0,9.0
151046,Biology,Biochemistry,Full Professor,1647094,1647101,1647398,False,zo9SOArs7oXp7W5UcpCCGg,gm,Biological Sciences,7,11,2.0,7.0,2.0,5.0
153796,Mathematics,Pure mathematics,Other,1647887,1664397,1648489,False,t_dNF_0rYNnVvryzygnL_w,gm,Mathematical Sciences,13,21,2.0,6.0,2.0,5.0
150823,Chemistry,Other,Full Professor,1647122,1650189,1650708,False,kvICVwW-4mHkkj9nt54xkg,gm,Chemical Sciences,16,28,1.0,3.0,2.0,5.0
148825,Business,Finance,Associate Professor,1652768,1653963,1657740,False,2g7KRPDRo8C6wVCMeOhCfw,gm,,2,3,,,3.0,10.0
147797,Medicine,Medical physics,Full Professor,1647374,1648089,1672554,False,gmgOwNWhZsJiDUlkN05A6Q,gm,Physical Sciences,16,29,2.0,7.0,2.0,4.0
149243,Mathematics,Combinatorics,Associate Professor,1652563,1656041,1648048,False,gH1AdXnKyB2i77ppUl-biA,gf,Mathematical Sciences,13,21,2.0,6.0,2.0,6.0
151112,Physics,Astronomy,Associate Professor,1660597,1647273,1678559,False,h9fDoh5CeknYAPMbWU-kqw,gf,Earth Sciences,12,20,1.0,3.0,2.0,4.0
150204,Physics,Astronomy,Full Professor,1647129,1647487,1647977,False,1G60PxFbQZl7EJSHv6zC_g,gm,Physical Sciences,3,5,2.0,6.0,2.0,5.0
150408,Business,Marketing,Other,1658073,1707526,1660516,False,tbOuEe_oElzZjNt5khyn7g,gm,,19,37,,,2.0,6.0
148300,Mathematics,Pure mathematics,Full Professor,1650953,1663740,1659368,False,BbBVpYqPJ3nHbCSm9c50Cw,gm,Mathematical Sciences,13,21,3.0,8.0,2.0,7.0
152701,History,Economic history,Assistant Professor,1656099,1650668,1657078,False,Edf_JulbCdJK6LE5GuErWw,gf,,16,28,,,,
152360,Business,Accounting,Full Professor,1658795,1669856,1656959,False,c_AvtiVifKDn0_8MsmafKw,gm,,1,1,,,1.0,2.0
152939,Computer science,Programming language,Associate Professor,1662461,1666389,1706855,False,PU8f0Lyr2RM1AiwLrdxaxg,gm,,16,32,,,1.0,3.0
152473,Business,Other,Full Professor,1648613,1665510,1655371,False,C8CODhcR8xIOZw1Q5FA1EA,gm,,2,4,,,1.0,2.0
151906,Psychology,Social psychology,Associate Professor,1648096,1651281,1662867,False,QaxlaSkyVo-J6UOr1JoepQ,gf,Psychological Sciences,16,28,1.0,2.0,1.0,2.0
153522,Economics,Development economics,Associate Professor,1653261,1653450,1662260,False,ygpenITR5lEz4Jpk1546nA,gm,Economics,2,4,3.0,8.0,3.0,8.0
153216,Psychology,Developmental psychology,Full Professor,1648093,1660446,1652802,False,9z03GrPGMDnZ_gpZfflt1A,gm,Psychological Sciences,20,39,1.0,2.0,1.0,2.0
153179,Business,Other,Assistant Professor,1657773,1669822,1661350,False,52bVoaj_LYwAG-ECyy0eXA,gm,,18,36,,,2.0,5.0
149810,Sociology,Other,Full Professor,1648524,1664873,1656606,False,0vDUyr7Y4TNyubFGsMMFRA,gf,Sociology,17,34,2.0,5.0,2.0,6.0
152085,History,Archaeology,Full Professor,1647094,1679264,1654232,False,uj-0S6ATCPb8pEk4XoBDYw,gm,"Language, Literature, Culture",12,18,2.0,4.0,2.0,4.0
153397,Medicine,Pediatrics,Other,1647097,1649519,1648759,False,BT5TPw2TXZivoae7AJtpUg,gm,Health,8,13,1.0,1.0,1.0,1.0
153108,Sociology,Social science,Associate Professor,1648524,1653909,1649621,False,_oEO-bzL5bpk4m1yqJqfCg,gm,,17,34,,,,
151704,Economics,Microeconomics,Full Professor,1650343,1649056,1651282,False,mkzAzxmfag0dFaAHx5zSag,gf,,2,3,,,,
153497,Mathematics,Mathematical physics,Full Professor,1650953,1653263,1652495,False,EC0l4YewY7Yr6IdUBdPB3g,gm,Mathematical Sciences,13,21,1.0,2.0,1.0,2.0
153327,Economics,Labour economics,Full Professor,1650681,1660079,1699443,False,5s1KzbqlS4roDR96G-64QQ,gf,,2,3,,,,
152617,Economics,Finance,Full Professor,1648193,1648613,1658165,False,tOvOmmbgdARAuvcGQc0_6Q,gm,,2,3,,,,
153215,Psychology,Cognitive psychology,Associate Professor,1647094,1651281,1650682,False,dMEQzqomMvPY5rxJPdRriQ,gm,Psychological Sciences,20,38,2.0,4.0,1.0,4.0
152431,Economics,Economic history,Assistant Professor,1650681,1677031,1648413,False,ejJg2Huf-ZHoflkHEI39tw,gm,Economics,2,4,1.0,2.0,2.0,4.0
152274,Psychology,Developmental psychology,Associate Professor,1650113,1682638,1655871,False,qmNVWvOgO09_qIiz5iRfXQ,gf,Linguistics,20,38,1.0,2.0,1.0,2.0
152564,Medicine,Pharmacology,Full Professor,1647092,1647430,1648418,False,_3tSATZvIG-OJKlMTKRUDg,gf,Medical Sciences,7,11,3.0,9.0,2.0,7.0
151429,Sociology,Anthropology,Full Professor,1647467,1654493,1658712,False,HQW84Qz6PGuHpkUCBD-m6A,gm,Anthropology,11,16,3.0,9.0,2.0,6.0
152041,Business,Other,Associate Professor,1653438,1666739,1675920,False,Og9ONaFeb09tf3n4bJ-Syg,gm,,16,28,,,1.0,4.0
151916,Computer science,Distributed computing,Full Professor,1665674,1650479,1675442,False,wpQvStYVYy6xyFQWUvQ1NQ,gm,,16,32,,,,
152600,Economics,Labour economics,Full Professor,1649056,1650235,1659334,False,Wm9xeWv8eAnbR8M47p-gVw,gm,Economics,2,4,1.0,2.0,2.0,4.0
148834,Computer science,Human computer interaction,Full Professor,1658215,1647841,1656142,False,dgtT-dyE885cQD6Y89Jl0g,-,,16,31,,,,
152891,Business,Accounting,Associate Professor,1658795,1678874,1676323,False,S2w1Je7GMPXLqQjVDT4dkw,gf,,1,1,,,,
152724,Psychology,Other,Full Professor,1648129,1657764,1651468,False,IFqjvGUeH66Fk5SGlPW5fw,gm,Psychological Sciences,8,12,2.0,5.0,2.0,5.0
152566,Chemistry,Polymer chemistry,Full Professor,1647094,1653470,1647100,False,34KtxYUksZDQ0dKME4gG6g,gm,Chemical Sciences,4,6,1.0,2.0,1.0,2.0
153154,History,Ancient history,Associate Professor,1649224,1650949,1649652,False,6nWJtebs2qv6yE9tkjxuKQ,gm,,16,28,,,,
153146,Biology,Evolutionary biology,Associate Professor,1647092,1647108,1649792,False,-mzozSzYRA9Va5EWBPOTeA,gm,Biological Sciences,12,18,2.0,6.0,1.0,3.0
151569,Mathematics,Computational science,Full Professor,1651889,1660747,1648243,False,ViKc63Rs0jWzyz2iQNx2Aw,gm,Mathematical Sciences,16,28,2.0,5.0,2.0,5.0
152792,Biology,Neuroscience,Full Professor,1647094,1651036,1648040,False,ZSJuRjkN5xJX16YgYwqhig,gm,Biological Sciences,7,11,3.0,8.0,2.0,6.0
152342,Psychology,Cognitive science,Full Professor,1647108,1683457,1660339,False,vL45q_mNrQ0NQH1Al7TowQ,gm,Linguistics,10,15,2.0,6.0,2.0,6.0
153243,Computer science,Natural language processing,Full Professor,1679455,1671487,1648003,False,AwA3a113Mm1MB3cUgM1pUA,gm,,16,30,,,1.0,2.0
153004,Business,Finance,Associate Professor,1655975,1658165,1657740,False,iZIwbn2JOQdef750kFBd9A,-,Business,2,3,3.0,8.0,3.0,7.0
151860,Mathematics,Mathematical analysis,Full Professor,1657877,1647461,1652430,False,bKeU7D62DGhpSAZHMHvYmw,gm,Mathematical Sciences,12,18,2.0,7.0,2.0,6.0
151842,Economics,Public economics,Assistant Professor,1649056,1682803,1693880,False,ZOLqPKIU8BygY1KJWRZ6wA,-,Economics,2,3,1.0,1.0,1.0,2.0
151757,Economics,Monetary economics,Full Professor,1649056,1654001,1652878,False,1RI7V4-GMcX4X5LzDfRQFA,gm,Economics,2,3,2.0,4.0,2.0,4.0
152016,Psychology,Clinical psychology,Full Professor,1651690,1649038,1648808,False,Jl6yTs0qi2-81Xb9Crj1EA,gm,Psychological Sciences,20,40,2.0,6.0,3.0,8.0
147916,Mathematics,Applied mathematics,Full Professor,1666244,1650527,1652536,False,1AQFSlMmCdadzQWyS6sxSA,gm,Mathematical Sciences,6,8,2.0,5.0,1.0,3.0
151765,Biology,Virology,Full Professor,1647108,1647787,1649422,False,YeNo8ShXBWBX9vEAa1RQYQ,gm,Biological Sciences,12,18,3.0,9.0,3.0,10.0
152726,Physics,Astrophysics,Full Professor,1647751,1647166,1647977,False,vyGEQvzeyLLlFAZFjIW32A,gm,Physical Sciences,3,5,1.0,1.0,1.0,1.0
153263,Psychology,Other,Assistant Professor,1651775,1654013,1682095,False,ffggznMCsQKU--M24JMImw,gm,Psychological Sciences,20,38,3.0,7.0,3.0,9.0
152128,Business,Accounting,Assistant Professor,1661981,1658824,1668294,False,Jw-2QOnYKWIVBTjtuER91g,gf,,1,2,,,,
151640,Biology,Microbiology,Full Professor,1654377,1650475,1650593,False,XzjS6cpZZIOHEsAjpiMsrw,gm,Biological Sciences,12,18,3.0,8.0,3.0,7.0
152505,Physics,Condensed matter physics,Associate Professor,1647094,1651168,1647118,False,wGzzEAK_HxOe1dJ0Pe4ygw,gm,Physical Sciences,6,9,2.0,4.0,2.0,6.0
150813,Mathematics,Combinatorics,Full Professor,1651529,1648048,1655831,False,QF_TEY8Qw5cwOVVACTJaTQ,gm,Mathematical Sciences,13,21,3.0,10.0,3.0,10.0
153505,Physics,Astrophysics,Full Professor,1647129,1647166,1647150,False,JwbYcEDfBSpKiziEZ7nYMw,gm,Physical Sciences,3,5,1.0,1.0,1.0,1.0
149572,Computer science,Artificial intelligence,Full Professor,1648769,1696360,1711861,False,37mnKaIrEFKt8xlU_iG42A,gm,,16,28,,,3.0,8.0
150884,Economics,Natural resource economics,Other,1649056,1688966,1653200,False,_84mAccIF1cI87v06leYlQ,gm,Economics,2,3,3.0,9.0,3.0,8.0
148869,Psychology,Clinical psychology,Full Professor,1652988,1654626,1651534,False,jzLvSSK3L6LjVdBtSQFeow,gm,Psychological Sciences,16,28,3.0,9.0,3.0,10.0
151901,Computer science,Operating system,Full Professor,1682650,1664160,1653748,False,Nil3xL8LhUBIhpvfyohoww,gm,,16,32,,,,
151698,Biology,Pharmacology,Full Professor,1650477,1649912,1647430,False,L-HXyjE638oVd5BdR7kIUw,gm,Medical Sciences,10,15,3.0,9.0,3.0,9.0
148801,Economics,Microeconomics,Full Professor,1650681,1650876,1658633,False,G6g5p1fWwgRO0iz-wBCEHA,gm,,2,4,,,,
153163,Biology,Agricultural science,Full Professor,1647248,1648054,1647675,False,bvwQqpH_6EU3iW7tkMPPoQ,gm,Agriculture,7,11,3.0,8.0,3.0,8.0
152669,Business,Other,Full Professor,1650616,1671180,1661476,False,NNQqbk83m9oKF5heAn-uaA,gm,,18,36,,,,
150890,Biology,Ecology,Full Professor,1647638,1648393,1649766,False,7KgoapHNshoqhIcrBgC7jw,gm,Biological Sciences,9,14,2.0,4.0,1.0,3.0
152985,Medicine,Gerontology,Full Professor,1647663,1648084,1660481,False,9zv3Fmhi7BjkBDhz8FF51w,gf,Health,8,13,2.0,4.0,2.0,5.0
153422,Economics,Microeconomics,Full Professor,1650343,1678961,1653858,False,6M6GeS-2NfU9KO3PkFQ5tw,gm,,12,18,,,,
