venue_db_id,venue_oa_id,name,users_selected,display_name,2yr_mean_citedness,works_count,cited_by_count,issn_l,first_topic,db_concept,jcr_jif,jcr_name
1653111,143668711,Administrative Science Quarterly,221,Administrative Science Quarterly,4.589473684210526,4147.0,920680.0,0001-8392,"Business, Management and Accounting",Political science,8.3,administrative science quarterly
1647164,104038378,Biochemistry,219,Biochemistry,2.543942992874109,70641.0,3716744.0,0006-2960,"Biochemistry, Genetics and Molecular Biology",Chemistry,2.9,biochemistry
1647152,67393510,Angewandte Chemie International Edition,216,Angewandte Chemie International Edition,13.920219006648416,82377.0,5864153.0,1433-7851,Chemistry,Chemistry,16.1,angewandte chemie-international edition
1647542,96410829,Journal of Cell Biology,215,The Journal of Cell Biology,7.396460176991151,27972.0,3334486.0,0021-9525,"Biochemistry, Genetics and Molecular Biology",Biology,7.4,journal of cell biology
1664286,61274580,Annual Review of Sociology,215,Annual Review of Sociology,10.660714285714286,1386.0,326734.0,0360-0572,Social Sciences,Sociology,8.9,annual review of sociology
1647320,5555990,The Journal of Neuroscience,213,Journal of Neuroscience,3.890167865707434,39967.0,4706194.0,0270-6474,Neuroscience,Biology,4.4,journal of neuroscience
1647373,46058472,Journal of Molecular Biology,210,Journal of Molecular Biology,5.251461988304094,36193.0,2815766.0,0022-2836,"Biochemistry, Genetics and Molecular Biology",Chemistry,4.7,journal of molecular biology
1650616,117778295,Academy of Management Journal,207,Academy of Management Journal,9.947712418300654,6687.0,1066471.0,0001-4273,"Business, Management and Accounting",Economics,9.5,academy of management journal
1651281,58854535,Psychological Science,206,Psychological Science,4.950819672131147,5836.0,684181.0,0956-7976,Neuroscience,Psychology,4.8,psychological science
1654270,73260565,Reviews of Modern Physics,196,Reviews of Modern Physics,49.08695652173913,3519.0,1277436.0,0034-6861,Physics and Astronomy,Physics,45.9,reviews of modern physics
1651282,149131268,Journal of Economic Theory,190,Journal of Economic Theory,2.0185185185185186,5852.0,352013.0,0022-0531,"Economics, Econometrics and Finance",Economics,1.4,journal of economic theory
1647113,77047749,Journal of Chemical Physics,184,The Journal of Chemical Physics,3.2095527332965212,143434.0,7046857.0,0021-9606,Physics and Astronomy,Physics,3.1,journal of chemical physics
1651560,46763546,Academy of Management Review,180,Academy of Management Review,16.02061855670103,5460.0,1217319.0,0363-7425,"Business, Management and Accounting",Economics,19.3,academy of management review
1647456,81455967,Molecular and Cellular Biology,177,Molecular and Cellular Biology,2.06198347107438,31602.0,2310562.0,0270-7306,"Biochemistry, Genetics and Molecular Biology",Biology,3.2,molecular and cellular biology
1652322,199447588,Journal of Public Economics,170,Journal of Public Economics,6.5673076923076925,4829.0,395156.0,0047-2727,"Economics, Econometrics and Finance",Economics,4.8,journal of public economics
1657589,206124708,Organization Science,167,Organization Science,6.56701030927835,2466.0,556411.0,1047-7039,"Business, Management and Accounting",Computer science,4.9,organization science
1647792,80146597,American Psychologist,165,American Psychologist,5.960648148148148,20999.0,1029163.0,0003-066X,Psychology,Psychology,12.3,american psychologist
1658190,72880728,Journal of Economic Perspectives,164,The Journal of Economic Perspectives,9.612244897959185,2279.0,464450.0,0895-3309,"Economics, Econometrics and Finance",Economics,6.9,journal of economic perspectives
1648511,166002381,Journal of Applied Psychology,163,Journal of Applied Psychology,7.48314606741573,13123.0,1173756.0,0021-9010,"Business, Management and Accounting",Psychology,9.4,journal of applied psychology
1653316,102949365,Strategic Management Journal,162,Strategic Management Journal,5.875,4055.0,1008149.0,0143-2095,"Business, Management and Accounting",Business,6.5,strategic management journal
1647121,105243760,Applied Physics Letters,161,Applied Physics Letters,3.6629314208874946,131325.0,5481051.0,0003-6951,Physics and Astronomy,Physics,3.5,applied physics letters
1647127,4210200754,Angewandte Chemie,160,Angewandte Chemie,1.983511410104208,125018.0,1557860.0,0044-8249,Chemistry,Chemistry,,
1650744,129389861,Social Problems,156,Social Problems,2.7254901960784315,6541.0,168199.0,0037-7791,Social Sciences,Sociology,3.0,social problems
1648536,45757444,Neuron,153,Neuron,12.968789013732836,13160.0,2459556.0,0896-6273,Neuroscience,Biology,14.7,neuron
1647874,45992627,The Economic Journal,153,The Economic Journal,5.522388059701493,19470.0,932717.0,0013-0133,"Economics, Econometrics and Finance",Economics,3.8,economic journal
1647461,60030702,Transactions of the American Mathematical Society,148,Transactions of the American Mathematical Society,0.980430528375734,31196.0,560993.0,0002-9947,Mathematics,Mathematics,1.2,transactions of the american mathematical society
1647120,197437610,The American Historical Review,147,The American Historical Review,0.0537153088630259,132101.0,1360989.0,0002-8762,Social Sciences,History,1.9,american historical review
1649368,41143188,Chemical Reviews,140,Chemical Reviews,43.142857142857146,9657.0,3415290.0,0009-2665,Chemistry,Chemistry,51.4,chemical reviews
1650953,45918994,Annals of Mathematics,140,Annals of Mathematics,5.176470588235294,6183.0,479520.0,0003-486X,Mathematics,Mathematics,5.7,annals of mathematics
1654001,6711363,Journal of Monetary Economics,137,Journal of Monetary Economics,6.004098360655738,3657.0,374535.0,0304-3932,"Economics, Econometrics and Finance",Economics,4.3,journal of monetary economics
1651804,187348256,Personality and Social Psychology Bulletin,135,Personality and Social Psychology Bulletin,3.854014598540146,5286.0,464726.0,0146-1672,Social Sciences,Psychology,3.4,personality and social psychology bulletin
1651262,127742747,Journal of Econometrics,135,Journal of Econometrics,11.857142857142858,5863.0,619780.0,0304-4076,"Economics, Econometrics and Finance",Mathematics,9.9,journal of econometrics
1647129,1980519,The Astrophysical Journal,133,The Astrophysical Journal,4.781714647263525,121373.0,5690341.0,0004-637X,Physics and Astronomy,Physics,4.8,astrophysical journal
1647839,106822843,Social Science & Medicine,133,Social Science & Medicine,5.722796352583587,20525.0,1226994.0,0277-9536,Social Sciences,Medicine,4.9,social science & medicine
1647112,187991544,Journal of Applied Physics,133,Journal of Applied Physics,2.8193566125927965,146547.0,4511428.0,0021-8979,Physics and Astronomy,Physics,2.7,journal of applied physics
1648191,103482838,Communications of The ACM,133,Communications of the ACM,4.871961102106969,15366.0,1008196.0,0001-0782,Computer Science,Computer science,11.1,communications of the acm
1647173,152760256,Chemical Communications,128,Chemical Communications,4.032827862022996,67536.0,2812748.0,1359-7345,Chemistry,Chemistry,4.3,chemical communications
1650113,4210168021,Journal of experimental psychology,127,Journal of Experimental Psychology,1.5,7572.0,300784.0,0022-1015,Psychology,Psychology,,
1653909,30543418,Demography,126,Demography,4.073891625615763,3604.0,224750.0,0070-3370,Social Sciences,Sociology,3.6,demography
1652563,98347115,Inventiones Mathematicae,126,Inventiones mathematicae,2.58,4613.0,324524.0,0020-9910,Mathematics,Mathematics,2.6,inventiones mathematicae
1647666,168049282,American Journal of Public Health,126,American Journal of Public Health,2.3633257403189067,23591.0,1177252.0,0090-0036,Health Professions,Medicine,9.6,american journal of public health
1650513,146344,Journal of Marriage and Family,126,Journal of Marriage and Family,2.875,6871.0,484606.0,0022-2445,Social Sciences,Psychology,2.7,journal of marriage and family
1653464,122767448,Journal of Management,124,Journal of Management,6.870292887029288,3926.0,529167.0,0149-2063,"Business, Management and Accounting",Economics,9.3,journal of management
1647649,122176235,The American Naturalist,123,The American Naturalist,2.6220238095238093,24389.0,989945.0,0003-0147,Agricultural and Biological Sciences,Biology,2.4,american naturalist
1649773,168778273,Genes & Development,123,Genes & Development,8.014634146341463,8472.0,1812217.0,0890-9369,"Biochemistry, Genetics and Molecular Biology",Biology,7.5,genes & development
1650477,2298632,Nature Neuroscience,122,Nature Neuroscience,19.63010752688172,7036.0,1387950.0,1097-6256,Neuroscience,Biology,21.2,nature neuroscience
1648390,3006207977,Proceedings of The Royal Society B: Biological Sciences,121,Proceedings of the Royal Society B Biological Sciences,4.300578034682081,14205.0,1110262.0,0962-8452,Agricultural and Biological Sciences,Biology,3.8,proceedings of the royal society b-biological sciences
1647638,35917800,Ecology,120,Ecology,3.9752906976744184,24657.0,1858048.0,0012-9658,Environmental Science,Biology,4.4,ecology
1647240,4210226894,Proceedings of the American Mathematical Society,119,Proceedings of the American Mathematical Society,0.6714285714285714,50409.0,413631.0,0002-9939,Mathematics,Mathematics,0.8,proceedings of the american mathematical society
1647827,87560609,Evolution,116,Evolution,2.559463986599665,20288.0,1050678.0,0014-3820,Agricultural and Biological Sciences,Biology,3.1,evolution
1652761,12410666,Journal of Experimental Social Psychology,116,Journal of Experimental Social Psychology,3.671698113207547,4451.0,326422.0,0022-1031,Social Sciences,Psychology,3.2,journal of experimental social psychology
1649508,156208185,Molecular Cell,115,Molecular Cell,13.463553530751708,9274.0,1466445.0,1097-2765,"Biochemistry, Genetics and Molecular Biology",Biology,14.5,molecular cell
1647722,128425624,Current Biology,115,Current Biology,6.211303462321792,22674.0,1516778.0,0960-9822,Neuroscience,Biology,8.1,current biology
1647543,62401924,Journal of the American Statistical Association,113,Quarterly Publications of the American Statistical Association,4.017857142857143,27686.0,1767503.0,1522-5445,Mathematics,Mathematics,3.0,journal of the american statistical association
1647150,195663288,Monthly Notices of the Royal Astronomical Society,112,Monthly Notices of the Royal Astronomical Society,4.577014846235419,84995.0,2652534.0,0035-8711,Physics and Astronomy,Physics,4.7,monthly notices of the royal astronomical society
1648479,192217950,Mathematische Annalen,111,Mathematische Annalen,1.17169373549884,13317.0,316797.0,0025-5831,Mathematics,Mathematics,1.3,mathematische annalen
1647144,207178839,Journal of Geophysical Research,110,Journal of Geophysical Research Atmospheres,0.05,89425.0,5557223.0,0148-0227,Physics and Astronomy,Geology,,
1649124,122441808,Advances in Mathematics,109,Advances in Mathematics,1.3489037178265015,10631.0,290042.0,0001-8708,Mathematics,Mathematics,1.5,advances in mathematics
1651463,88198767,Cognition,109,Cognition,3.479750778816199,5711.0,520414.0,0010-0277,Psychology,Psychology,2.8,cognition
1648096,109723506,Child Development,107,Child Development,4.353221957040573,16520.0,1097183.0,0009-3920,Psychology,Psychology,3.9,child development
1647560,1336409049,eLife,105,eLife,4.741880787791835,14609.0,742801.0,2050-084X,Neuroscience,Biology,6.4,elife
1647181,119722071,Annals of Internal Medicine,104,Annals of Internal Medicine,3.5850409836065573,60441.0,2608752.0,0003-4819,"Economics, Econometrics and Finance",Medicine,19.6,annals of internal medicine
1647159,98085912,Biophysical Journal,104,Biophysical Journal,0.6665424739195231,75181.0,1521499.0,0006-3495,"Biochemistry, Genetics and Molecular Biology",Chemistry,3.2,biophysical journal
1654005,193228710,Journal of Financial and Quantitative Analysis,104,Journal of Financial and Quantitative Analysis,4.079497907949791,3696.0,248366.0,0022-1090,"Economics, Econometrics and Finance",Economics,3.7,journal of financial and quantitative analysis
1650692,171170845,Duke Mathematical Journal,104,Duke Mathematical Journal,2.085714285714286,6597.0,216261.0,0012-7094,Mathematics,Mathematics,2.3,duke mathematical journal
1647166,205231332,Astronomy and Astrophysics,103,Astronomy and Astrophysics,5.31077195310772,67581.0,1644834.0,0004-6361,Physics and Astronomy,Physics,5.4,astronomy & astrophysics
1647179,173952182,Physics Letters B,98,Physics Letters B,4.1836587129428775,64818.0,2112128.0,0370-2693,Physics and Astronomy,Physics,4.3,physics letters b
1648972,126635229,Developmental Psychology,98,Developmental Psychology,2.1435406698564594,10983.0,708602.0,0012-1649,Psychology,Psychology,3.1,developmental psychology
1661981,62142384,Journal of Accounting and Economics,97,Journal of Accounting and Economics,6.647058823529412,1623.0,334380.0,0165-4101,"Business, Management and Accounting",Business,5.4,journal of accounting & economics
1658795,160506855,The Accounting Review,96,The Accounting Review,4.9162303664921465,2141.0,238555.0,0001-4826,"Business, Management and Accounting",Business,4.4,accounting review
1647203,164566984,Physical Review A,95,Physical Review A,0.0,55008.0,1946424.0,1050-2947,Physics and Astronomy,Physics,2.6,physical review a
1647123,25293849,The FASEB Journal,95,The FASEB Journal,0.6158155767817781,121641.0,1168025.0,0892-6638,Medicine,Biology,4.4,faseb journal
1660887,34139249,The RAND Journal of Economics,93,The RAND Journal of Economics,3.329113924050633,1710.0,212470.0,0741-6261,Decision Sciences,Economics,2.8,rand journal of economics
1647273,36624081,Geophysical Research Letters,93,Geophysical Research Letters,4.6974608319827125,46588.0,2256074.0,0094-8276,Environmental Science,Geology,4.6,geophysical research letters
1650126,79131028,Trends in Ecology and Evolution,92,Trends in Ecology & Evolution,10.35919540229885,7628.0,921083.0,0169-5347,Agricultural and Biological Sciences,Biology,16.7,trends in ecology & evolution
1656606,59311786,Social Science Research,92,Social Science Research,3.531073446327684,2708.0,110881.0,0049-089X,Social Sciences,Psychology,3.2,social science research
1656959,111116695,Journal of Accounting Research,92,Journal of Accounting Research,5.984615384615385,2593.0,322779.0,0021-8456,"Business, Management and Accounting",Business,4.9,journal of accounting research
1648637,104894821,Mathematische Zeitschrift,91,Mathematische Zeitschrift,0.9400386847195358,12526.0,218352.0,0025-5874,Mathematics,Mathematics,1.0,mathematische zeitschrift
1654527,179979277,International Economic Review,89,International Economic Review,1.7099236641221374,3337.0,202660.0,0020-6598,"Economics, Econometrics and Finance",Economics,1.5,international economic review
1647185,13479253,Environmental Science & Technology,89,Environmental Science & Technology,10.698707138842046,62651.0,3437924.0,0013-936X,Environmental Science,Chemistry,10.8,environmental science & technology
1658269,113542759,Acta Mathematica,88,Acta Mathematica,5.388888888888889,2253.0,159532.0,0001-5962,Mathematics,Mathematics,4.9,acta mathematica
1650892,147022693,Philosophical Studies,85,Philosophical Studies,1.8397435897435896,6318.0,129875.0,0031-8116,Psychology,Philosophy,1.1,philosophical studies
1647467,102499938,American Anthropologist,84,American Anthropologist,1.1,31074.0,274452.0,0002-7294,Health Professions,History,2.6,american anthropologist
1649107,35579339,The Philosophical Review,84,The Philosophical Review,1.4838709677419355,10320.0,339717.0,0031-8108,Arts and Humanities,Philosophy,2.8,philosophical review
1648119,37480348,Mind,84,Mind,0.7472527472527473,16493.0,127297.0,0026-4423,Psychology,Philosophy,1.8,mind
1647487,100695177,The Astronomical Journal,83,The Astronomical Journal,4.903896103896104,30594.0,888543.0,0004-6256,Physics and Astronomy,Physics,5.1,astronomical journal
1654571,21304105,Comparative Studies in Society and History,83,Comparative Studies in Society and History,0.6893203883495146,3386.0,73658.0,0010-4175,Social Sciences,Political science,1.1,comparative studies in society and history
1658824,65924262,Contemporary Accounting Research,83,Contemporary Accounting Research,4.055837563451776,2173.0,132048.0,0823-9150,"Business, Management and Accounting",Economics,3.2,contemporary accounting research
1647177,44567922,Chemical Physics Letters,82,Chemical Physics Letters,2.7201117318435752,65860.0,1806731.0,0009-2614,Physics and Astronomy,Chemistry,2.8,chemical physics letters
1648393,67154222,Oecologia,81,Oecologia,2.4466800804828974,14067.0,975644.0,0029-8549,Environmental Science,Biology,2.3,oecologia
1647410,176007004,American Political Science Review,80,American Political Science Review,6.801369863013699,33975.0,612295.0,0003-0554,Social Sciences,Political science,5.9,american political science review
1658577,122290859,Journal of Health and Social Behavior,80,Journal of Health and Social Behavior,7.092783505154639,2061.0,290528.0,0022-1465,Social Sciences,Psychology,6.3,journal of health and social behavior
1647380,114430552,Journal of Clinical Investigation,80,Journal of Clinical Investigation,8.360818713450293,35411.0,4314989.0,0021-9738,Immunology and Microbiology,Medicine,13.3,journal of clinical investigation
1647180,96638545,Brain Research,79,Brain Research,2.903522205206738,64526.0,2879115.0,0006-8993,Neuroscience,Biology,2.7,brain research
1650229,119950638,Journal of Marketing Research,78,Journal of Marketing Research,5.914285714285715,7402.0,771219.0,0022-2437,"Business, Management and Accounting",Business,5.1,journal of marketing research
1649748,4210175824,The Astrophysical Journal Letters,78,The Astrophysical Journal Letters,8.598597038191738,8789.0,339253.0,2041-8205,Physics and Astronomy,Physics,8.8,astrophysical journal letters
1649884,204374153,Philosophy and Phenomenological Research,77,Philosophy and Phenomenological Research,1.8855721393034823,8088.0,184854.0,0031-8205,Arts and Humanities,Philosophy,1.3,philosophy and phenomenological research
1648756,118719888,Journal of Consulting and Clinical Psychology,77,Journal of Consulting and Clinical Psychology,3.0,11878.0,907488.0,0022-006X,Psychology,Psychology,4.5,journal of consulting and clinical psychology
1650877,114406506,American Journal of Mathematics,77,American Journal of Mathematics,1.4895833333333333,6292.0,215984.0,0002-9327,Mathematics,Mathematics,1.7,american journal of mathematics
1647196,104830714,FEBS Letters,76,FEBS Letters,2.6926910299003324,58419.0,2307785.0,0014-5793,"Biochemistry, Genetics and Molecular Biology",Chemistry,3.0,febs letters
1647774,65932378,Genetics,76,Genetics,4.634146341463414,21214.0,1495767.0,0016-6731,Agricultural and Biological Sciences,Biology,3.3,genetics
1648285,142990027,Journal of Marketing,75,Journal of Marketing,11.902439024390244,14918.0,942010.0,0022-2429,"Business, Management and Accounting",Business,11.5,journal of marketing
1647407,95667342,The Journal of American History,75,Journal of American History,0.5580524344569289,34074.0,438406.0,0021-8723,Social Sciences,History,1.1,journal of american history
1649318,255146,Synthese,75,Synthese,1.6211538461538462,9619.0,159956.0,0039-7857,Arts and Humanities,Philosophy,1.3,synthese
1649149,137905309,Nature Genetics,74,Nature Genetics,29.067307692307693,10455.0,2585304.0,1061-4036,"Biochemistry, Genetics and Molecular Biology",Biology,31.7,nature genetics
1656065,170801797,Noûs,74,Noûs,1.7659574468085106,2815.0,97691.0,0029-4624,Psychology,Philosophy,1.8,nous
1653390,98189702,Australasian Journal of Philosophy,74,Australasian Journal of Philosophy,1.6805555555555556,3998.0,57458.0,0004-8402,Psychology,Philosophy,1.0,australasian journal of philosophy
1647122,191963794,Analytical Chemistry,73,Analytical Chemistry,6.736590909090909,130025.0,3611689.0,0003-2700,Chemistry,Chemistry,6.7,analytical chemistry
1653588,84664706,Personnel Psychology,73,Personnel Psychology,2.08955223880597,3917.0,270156.0,0031-5826,"Business, Management and Accounting",Psychology,4.7,personnel psychology
1647254,116025658,American Journal of Psychiatry,72,American Journal of Psychiatry,8.636094674556213,47297.0,1894407.0,0002-953X,Arts and Humanities,Psychology,15.1,american journal of psychiatry
1647139,205050996,Journal of Organic Chemistry,71,The Journal of Organic Chemistry,3.4943486020226056,96592.0,3040021.0,0022-3263,Chemistry,Chemistry,3.3,journal of organic chemistry
1651122,119757635,Annals of Statistics,70,The Annals of Statistics,3.238095238095238,5978.0,583059.0,0090-5364,Mathematics,Mathematics,3.2,annals of statistics
1647209,133274750,Journal of Bacteriology,70,Journal of Bacteriology,2.5226537216828477,54447.0,2804371.0,0021-9193,"Biochemistry, Genetics and Molecular Biology",Biology,2.7,journal of bacteriology
1647595,4210238307,Physical Review D,70,Physical review. D/Physical review. D.,4.834401182848694,27578.0,614921.0,2470-0010,Physics and Astronomy,Physics,4.6,physical review d
1655156,145429826,Journal of Consumer Research,70,Journal of Consumer Research,4.75177304964539,3182.0,606998.0,0093-5301,"Business, Management and Accounting",Psychology,5.7,journal of consumer research
1649258,2737427234,Science Advances,70,Science Advances,13.331548311990687,10660.0,710502.0,2375-2548,Engineering,Biology,11.7,science advances
1648820,100601982,Communications in Mathematical Physics,70,Communications in Mathematical Physics,2.375757575757576,11680.0,593571.0,0010-3616,Mathematics,Mathematics,2.2,communications in mathematical physics
1649664,165709033,Current Anthropology,70,Current Anthropology,1.757396449704142,8579.0,187907.0,0011-3204,Social Sciences,Geography,2.1,current anthropology
1647496,35412551,Physical Review E,69,Physical Review E,0.0,29980.0,997286.0,1539-3755,Physics and Astronomy,Physics,2.2,physical review e
1647590,4789869,Contemporary Sociology,69,Contemporary Sociology A Journal of Reviews,1.1917293233082706,25724.0,1686945.0,0094-3061,Social Sciences,Sociology,0.3,contemporary sociology-a journal of reviews
1647186,86852077,Science of The Total Environment,69,The Science of The Total Environment,9.524440609011895,64906.0,2725289.0,0048-9697,Environmental Science,Biology,8.2,science of the total environment
1647128,116251202,Circulation,69,Circulation,2.417896056310867,107712.0,5336849.0,0009-7322,Medicine,Medicine,35.5,circulation
1665245,29882555,Annual Review of Astronomy and Astrophysics,68,Annual Review of Astronomy and Astrophysics,22.153846153846153,1282.0,236779.0,0066-4146,Physics and Astronomy,Physics,26.3,annual review of astronomy and astrophysics
1657397,64744539,Organizational Behavior and Human Decision Processes,68,Organizational Behavior and Human Decision Processes,3.4207317073170733,2485.0,323211.0,0749-5978,Decision Sciences,Psychology,3.4,organizational behavior and human decision processes
1647350,187585107,Journal of High Energy Physics,68,Journal of High Energy Physics,4.841736163760425,38242.0,1165654.0,1029-8479,Physics and Astronomy,Physics,5.0,journal of high energy physics
1647140,151589183,Biochemical and Biophysical Research Communications,67,Biochemical and Biophysical Research Communications,2.6796977660972403,96276.0,3326237.0,0006-291X,"Biochemistry, Genetics and Molecular Biology",Chemistry,2.5,biochemical and biophysical research communications
1647539,118039931,Lecture Notes in Mathematics,67,Lecture notes in mathematics,0.2763157894736842,29017.0,433761.0,0075-8434,Mathematics,Mathematics,,
1647841,4306418550,ACM Conference on Human Factors in Computing Systems (CHI),66,Human Factors in Computing Systems,5.241824440619621,787.0,1810.0,,Computer Science,Computer science,,
1650682,18666220,"Journal of Experimental Psychology: Learning, Memory and Cognition",66,Journal of Experimental Psychology Learning Memory and Cognition,1.7455089820359282,6672.0,351908.0,0278-7393,Neuroscience,Psychology,2.2,journal of experimental psychology-learning memory and cognition
1649041,126359496,Archives of General Psychiatry,65,Archives of General Psychiatry,0.0,10674.0,1437102.0,0003-990X,Medicine,Psychology,,
1647255,4210213280,Proceedings - Academy of Management,65,Academy of Management Proceedings,0.093265533920377,48634.0,57528.0,0065-0668,"Business, Management and Accounting",Economics,,
1647459,99352657,Advanced Materials,65,Advanced Materials,22.06519804183356,32405.0,3649115.0,0935-9648,Materials Science,Materials science,27.4,advanced materials
1648813,130774151,Pacific Journal of Mathematics,65,Pacific Journal of Mathematics,0.5630252100840336,11646.0,343914.0,0030-8730,Mathematics,Mathematics,0.7,pacific journal of mathematics
1647264,185621672,Journal of Physical Chemistry B,64,The Journal of Physical Chemistry B,2.7805840568271507,47797.0,2381871.0,1520-5207,Physics and Astronomy,Chemistry,2.8,journal of physical chemistry b
1658073,163534328,Marketing Science,64,Marketing Science,5.879432624113475,2315.0,207339.0,0732-2399,"Business, Management and Accounting",Business,4.0,marketing science
1649921,121299002,Analysis,63,Analysis,0.8374384236453202,8053.0,70828.0,0003-2638,Psychology,Philosophy,1.1,analysis
1653112,80967739,Ecology Letters,63,Ecology Letters,7.899009900990099,4266.0,592113.0,1461-023X,Environmental Science,Biology,7.6,ecology letters
1651058,81959571,The Philosophical Quarterly,63,The Philosophical Quarterly,2.195266272189349,6064.0,172933.0,0031-8094,Arts and Humanities,Philosophy,1.1,philosophical quarterly
